PROVINCIE;GEMEENTENUMMER;GEMEENTENAAM;SOORT INSTELLING;BRIN NUMMER ACTUEEL;INSTELLINGSNAAM ACTUEEL;CROHO ONDERDEEL;CROHO SUBONDERDEEL;OPLEIDINGSCODE ACTUEEL;OPLEIDINGSNAAM ACTUEEL;OPLEIDINGSVORM;SOORT DIPLOMA;GESLACHT;2014;2015;2016;2017;2018
Drenthe;0114;Emmen;reguliere inst.;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34396;B Chemie;voltijd onderwijs;hbo bachelor;man;0;6;6;8;4
Drenthe;0114;Emmen;reguliere inst.;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34396;B Chemie;voltijd onderwijs;hbo bachelor;vrouw;0;0;1;4;2
Drenthe;0114;Emmen;reguliere inst.;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34397;B Biologie en Medisch Laboratoriumonderzoek;voltijd onderwijs;hbo bachelor;man;2;1;1;1;3
Drenthe;0114;Emmen;reguliere inst.;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34397;B Biologie en Medisch Laboratoriumonderzoek;voltijd onderwijs;hbo bachelor;vrouw;4;2;4;2;2
Drenthe;0114;Emmen;reguliere inst.;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34475;B Technische Informatica;voltijd onderwijs;hbo bachelor;man;7;3;5;5;5
Drenthe;0114;Emmen;reguliere inst.;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34475;B Technische Informatica;voltijd onderwijs;hbo bachelor;vrouw;0;0;0;0;1
Drenthe;0114;Emmen;reguliere inst.;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34479;B Informatica;voltijd onderwijs;hbo bachelor;man;16;23;28;27;38
Drenthe;0114;Emmen;reguliere inst.;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34479;B Informatica;voltijd onderwijs;hbo bachelor;vrouw;0;0;1;4;7
Drenthe;0114;Emmen;reguliere inst.;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);80071;Ad ICT-Beheer;voltijd onderwijs;hbo associate degree;man;0;0;3;1;1
Drenthe;0114;Emmen;reguliere inst.;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);80071;Ad ICT-Beheer;voltijd onderwijs;hbo associate degree;vrouw;1;0;0;0;0
Drenthe;0119;Meppel;reguliere inst.;31FR;NHL Stenden Hogeschool;onderwijs;leraar basisonderwijs;34808;B Opleiding tot leraar Basisonderwijs;voltijd onderwijs;hbo bachelor;man;10;7;5;4;12
Drenthe;0119;Meppel;reguliere inst.;31FR;NHL Stenden Hogeschool;onderwijs;leraar basisonderwijs;34808;B Opleiding tot leraar Basisonderwijs;voltijd onderwijs;hbo bachelor;vrouw;16;17;33;28;22
Drenthe;0119;Meppel;reguliere inst.;31FR;NHL Stenden Hogeschool;onderwijs;leraar basisonderwijs;35514;B International Teacher Education for Primary Schools (ITEps);voltijd onderwijs;hbo bachelor;man;0;0;0;1;2
Drenthe;0119;Meppel;reguliere inst.;31FR;NHL Stenden Hogeschool;onderwijs;leraar basisonderwijs;35514;B International Teacher Education for Primary Schools (ITEps);voltijd onderwijs;hbo bachelor;vrouw;0;0;1;8;17
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);34035;B Bedrijfskunde;voltijd onderwijs;hbo bachelor;man;1;6;9;11;20
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);34035;B Bedrijfskunde;voltijd onderwijs;hbo bachelor;vrouw;3;3;6;16;13
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);34402;B Commerciele Economie;voltijd onderwijs;hbo bachelor;man;2;9;15;21;29
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);34402;B Commerciele Economie;voltijd onderwijs;hbo bachelor;vrouw;1;7;5;9;11
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);34405;B Communicatie;voltijd onderwijs;hbo bachelor;man;0;2;1;1;4
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);34405;B Communicatie;voltijd onderwijs;hbo bachelor;vrouw;7;7;5;11;7
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);34609;B Human Resource Management;voltijd onderwijs;hbo bachelor;man;1;4;2;8;6
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);34609;B Human Resource Management;voltijd onderwijs;hbo bachelor;vrouw;3;11;9;15;16
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);35520;B Finance & Control;voltijd onderwijs;hbo bachelor;man;4;3;6;17;8
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);35520;B Finance & Control;voltijd onderwijs;hbo bachelor;vrouw;2;0;3;2;6
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);80007;Ad Officemanagement;voltijd onderwijs;hbo associate degree;man;0;0;1;5;4
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);80007;Ad Officemanagement;voltijd onderwijs;hbo associate degree;vrouw;0;0;8;27;35
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);80080;Ad Ondernemen;voltijd onderwijs;hbo associate degree;man;0;0;2;12;11
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);80080;Ad Ondernemen;voltijd onderwijs;hbo associate degree;vrouw;0;0;1;5;6
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);80103;Ad Commerciele Economie;voltijd onderwijs;hbo associate degree;man;0;0;0;0;3
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);34116;B Social Work;voltijd onderwijs;hbo bachelor;man;1;2;4;6;11
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);34116;B Social Work;voltijd onderwijs;hbo bachelor;vrouw;37;31;61;56;37
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;gezondheidszorg;n.v.t. (gezondheidszorg);34560;B Opleiding tot Verpleegkundige;voltijd onderwijs;hbo bachelor;man;2;1;1;3;6
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;gezondheidszorg;n.v.t. (gezondheidszorg);34560;B Opleiding tot Verpleegkundige;voltijd onderwijs;hbo bachelor;vrouw;11;11;27;37;54
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;gezondheidszorg;n.v.t. (gezondheidszorg);34578;B Opleiding voor Logopedie;voltijd onderwijs;hbo bachelor;vrouw;1;8;9;28;23
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;onderwijs;leraar basisonderwijs;34808;B Opleiding tot leraar Basisonderwijs;deeltijd onderwijs;hbo bachelor;man;2;1;1;1;0
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;onderwijs;leraar basisonderwijs;34808;B Opleiding tot leraar Basisonderwijs;deeltijd onderwijs;hbo bachelor;vrouw;10;7;4;1;2
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;onderwijs;leraar basisonderwijs;34808;B Opleiding tot leraar Basisonderwijs;voltijd onderwijs;hbo bachelor;man;7;2;4;2;8
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;onderwijs;leraar basisonderwijs;34808;B Opleiding tot leraar Basisonderwijs;voltijd onderwijs;hbo bachelor;vrouw;46;29;14;22;33
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;onderwijs;lerarenopleidingen speciaal onderwijs;44103;M Educational Needs;deeltijd onderwijs;hbo master;man;0;0;0;0;2
