PROVINCIE;GEMEENTENUMMER;GEMEENTENAAM;SOORT INSTELLING;BRIN NUMMER ACTUEEL;INSTELLINGSNAAM ACTUEEL;CROHO ONDERDEEL;CROHO SUBONDERDEEL;OPLEIDINGSCODE ACTUEEL;OPLEIDINGSNAAM ACTUEEL;OPLEIDINGSVORM;SOORT DIPLOMA;GESLACHT;2014;2015;2016;2017;2018
Gelderland;0268;Nijmegen;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);50035;B Culturele Antropologie en Ontwikkelingssociologie;voltijd onderwijs;wo bachelor;vrouw;49;39;34;25;22
Gelderland;0268;Nijmegen;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56601;B Sociologie;voltijd onderwijs;wo bachelor;man;12;8;11;11;5
Gelderland;0268;Nijmegen;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56601;B Sociologie;voltijd onderwijs;wo bachelor;vrouw;21;29;30;15;24
Gelderland;0268;Nijmegen;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56604;B Psychologie;voltijd onderwijs;wo bachelor;man;65;54;54;47;89
Gelderland;0268;Nijmegen;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56604;B Psychologie;voltijd onderwijs;wo bachelor;vrouw;281;244;231;213;303
Gelderland;0268;Nijmegen;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56606;B Politicologie;voltijd onderwijs;wo bachelor;man;40;30;43;59;46
Gelderland;0268;Nijmegen;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56606;B Politicologie;voltijd onderwijs;wo bachelor;vrouw;25;16;20;23;18
Gelderland;0268;Nijmegen;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56607;B Pedagogische Wetenschappen;voltijd onderwijs;wo bachelor;man;4;4;3;6;12
Gelderland;0268;Nijmegen;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56607;B Pedagogische Wetenschappen;voltijd onderwijs;wo bachelor;vrouw;173;183;151;150;119
Gelderland;0268;Nijmegen;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56615;B Communicatiewetenschap;voltijd onderwijs;wo bachelor;man;31;17;17;13;17
Gelderland;0268;Nijmegen;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56615;B Communicatiewetenschap;voltijd onderwijs;wo bachelor;vrouw;43;47;37;40;35
Gelderland;0268;Nijmegen;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56627;B Bestuurskunde;voltijd onderwijs;wo bachelor;man;22;26;27;36;30
Gelderland;0268;Nijmegen;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56627;B Bestuurskunde;voltijd onderwijs;wo bachelor;vrouw;21;24;17;24;27
Gelderland;0268;Nijmegen;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56947;B Geografie, Planologie en Milieu;voltijd onderwijs;wo bachelor;man;41;38;34;40;29
Gelderland;0268;Nijmegen;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56947;B Geografie, Planologie en Milieu;voltijd onderwijs;wo bachelor;vrouw;15;25;14;21;21
Gelderland;0268;Nijmegen;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);60099;M Onderwijswetenschappen;voltijd onderwijs;wo master;man;0;0;0;1;6
Gelderland;0268;Nijmegen;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);60099;M Onderwijswetenschappen;voltijd onderwijs;wo master;vrouw;0;0;0;4;32
Gelderland;0268;Nijmegen;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);60132;M Social and Cultural Science: Comparative Research on Societies (research);voltijd onderwijs;wo master;man;6;2;8;2;4
Gelderland;0268;Nijmegen;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);60132;M Social and Cultural Science: Comparative Research on Societies (research);voltijd onderwijs;wo master;vrouw;5;4;17;5;5
Gelderland;0268;Nijmegen;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);60203;M Political Science;voltijd onderwijs;wo master;man;27;15;29;24;55
Gelderland;0268;Nijmegen;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);60203;M Political Science;voltijd onderwijs;wo master;vrouw;14;20;17;23;44
Gelderland;0268;Nijmegen;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);60253;M Anthropology and Development Studies;voltijd onderwijs;wo master;man;5;7;2;4;4
