brin_nummer,kwalificatie_code,kwalificatie_naam,2015_man_i,2015_vrouw_i,2015_tot_i,2016_man_i,2016_vrouw_i,2016_tot_i,2017_man_i,2017_vrouw_i,2017_tot_i,2018_man_i,2018_vrouw_i,2018_tot_i,2019_man_i,2019_vrouw_i,2019_tot_i,2015_man_d,2015_vrouw_d,2015_tot_d,2016_man_d,2016_vrouw_d,2016_tot_d,2017_man_d,2017_vrouw_d,2017_tot_d,2018_man_d,2018_vrouw_d,2018_tot_d,2019_man_d,2019_vrouw_d,2019_tot_d,tech_label
01AA,25189.0,ICT-beheerder,0.0,0.0,0.0,44.0,0.0,44.0,136.0,4.0,140.0,190.0,3.0,193.0,194.0,4.0,198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,32.0,tech
01AA,25190.0,Netwerk- en mediabeheerder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,16.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,13.0,tech
01AA,25191.0,Medewerker beheer ICT,0.0,0.0,0.0,7.0,0.0,7.0,18.0,0.0,18.0,28.0,0.0,28.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,tech
01AA,25197.0,Allround DTP-er,0.0,0.0,0.0,12.0,11.0,23.0,19.0,15.0,34.0,27.0,28.0,55.0,26.0,22.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,13.0,tech
01AA,25201.0,Mediavormgever,0.0,0.0,0.0,27.0,24.0,51.0,51.0,36.0,87.0,70.0,54.0,124.0,81.0,59.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,tech
01AA,25215.0,Signspecialist,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,5.0,4.0,9.0,6.0,7.0,13.0,,,,,,,,,,,,,,,,design
01AA,90191.0,DTP-er (Allround DTP-er),1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,design
01AA,90411.0,Mediavormgever (Animatie/audiovisuele vormgeving),2.0,1.0,3.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,tech
01AA,90413.0,Mediavormgever (Grafische vormgeving),63.0,59.0,122.0,43.0,42.0,85.0,26.0,27.0,53.0,14.0,18.0,32.0,0.0,1.0,1.0,10.0,13.0,23.0,16.0,16.0,32.0,11.0,16.0,27.0,11.0,7.0,18.0,12.0,17.0,29.0,tech
01AA,90414.0,Mediavormgever (Interactieve vormgeving),3.0,1.0,4.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,tech
01AA,90531.0,Medewerker marketing en communicatie (Assistent communicatiemedewerker),2.0,4.0,6.0,2.0,4.0,6.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,4.0,3.0,7.0,2.0,4.0,6.0,2.0,4.0,6.0,0.0,4.0,4.0,0.0,0.0,0.0,growth
01AA,90532.0,Medewerker marketing en communicatie (Marketing medewerker),80.0,48.0,128.0,47.0,26.0,73.0,19.0,17.0,36.0,2.0,2.0,4.0,0.0,0.0,0.0,17.0,12.0,29.0,22.0,19.0,41.0,26.0,9.0,35.0,13.0,11.0,24.0,3.0,2.0,5.0,growth
01AA,91530.0,Vormgeving ruimtelijke presentatie en communicatie (Medewerker productpresentatie),2.0,9.0,11.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,12.0,2.0,6.0,8.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,design
01AA,91542.0,Vormgeving ruimtelijke presentatie en communicatie (Vormgever productpresentatie),1.0,19.0,20.0,2.0,18.0,20.0,1.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,3.0,3.0,0.0,10.0,10.0,1.0,7.0,8.0,0.0,0.0,0.0,design
01AA,93191.0,ICT-beheer (ICT-beheerder),1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tech
01AA,95070.0,ICT-medewerker (Medewerker beheer ICT),49.0,3.0,52.0,11.0,2.0,13.0,6.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,32.0,1.0,33.0,37.0,1.0,38.0,7.0,2.0,9.0,3.0,0.0,3.0,2.0,0.0,2.0,tech
