brinnummer_duo,opleidingscode_duo,instellingsnaam_duo,croho_onderdeel_duo,croho_subonderdeel_duo,opleidingsnaam_duo,ho_type,soortopleiding_duo,2015_man_i,2015_vrouw_i,2016_man_i,2016_vrouw_i,2017_man_i,2017_vrouw_i,2018_man_i,2018_vrouw_i,2019_man_i,2019_vrouw_i,2015_tot_i,2016_tot_i,2017_tot_i,2018_tot_i,2019_tot_i,2014_man_d,2014_vrouw_d,2015_man_d,2015_vrouw_d,2016_man_d,2016_vrouw_d,2017_man_d,2017_vrouw_d,2018_man_d,2018_vrouw_d,2014_tot_d,2015_tot_d,2016_tot_d,2017_tot_d,2018_tot_d,gemeentenummer_duo,cluster_sdb,sector_sdb,actieveopleiding_sdb,naamopleidingengels_sdb,eerstejaarsaantal_sdb,studentenaantal_sdb,_merge,tech_keyword,tech_label
07GR,80036,Avans Hogeschool,economie,n.v.t. (economie),Marketing Management,hbo,associate degree,17.0,8.0,36.0,24.0,107.0,55.0,128.0,52.0,123.0,54.0,25.0,60.0,162.0,180.0,177.0,9.0,8.0,6.0,4.0,13.0,7.0,28.0,19.0,40.0,24.0,17.0,10.0,20.0,47.0,64.0,"['758', '796', '855', '1674']",Commerciële economie,Economie en Bedrijf,1.0,Marketing Management,184.0,273.0,both,marketing,growth
07GR,80139,Avans Hogeschool,economie,n.v.t. (economie),Communicatie,hbo,associate degree,0.0,0.0,0.0,0.0,0.0,0.0,23.0,71.0,20.0,100.0,0.0,0.0,0.0,94.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,16.0,0.0,0.0,0.0,6.0,23.0,"['758', '796', '855', '1674']",Communicatie,Taal en Communicatie,1.0,Communication,97.0,119.0,both,,growth
07GR,39111,Avans Hogeschool,taal en cultuur,opleidingen op het gebied van de kunst,Vormgeving,hbo,bachelor,48.0,148.0,52.0,171.0,55.0,136.0,68.0,134.0,38.0,133.0,196.0,223.0,191.0,202.0,171.0,60.0,104.0,47.0,78.0,52.0,123.0,48.0,112.0,47.0,98.0,164.0,125.0,175.0,160.0,145.0,"['758', '796', '855', '1674']",Kunstacademie,Kunst en Cultuur,1.0,Design,234.0,779.0,both,design,designer
07GR,30026,Avans Hogeschool,techniek,n.v.t. (techniek),Mechatronica,hbo,bachelor,56.0,0.0,80.0,1.0,71.0,2.0,101.0,3.0,96.0,3.0,56.0,81.0,73.0,104.0,99.0,41.0,0.0,37.0,1.0,33.0,0.0,27.0,0.0,26.0,0.0,41.0,38.0,33.0,27.0,26.0,"['758', '796', '855', '1674']",Mechatronica,Techniek,1.0,Mechatronics,131.0,328.0,both,,designer
07GR,34092,Avans Hogeschool,techniek,n.v.t. (techniek),Communication and Multimedia Design,hbo,bachelor,86.0,66.0,130.0,87.0,140.0,130.0,146.0,148.0,115.0,129.0,152.0,217.0,270.0,294.0,244.0,127.0,55.0,124.0,62.0,105.0,76.0,93.0,74.0,102.0,58.0,182.0,186.0,181.0,167.0,160.0,"['758', '796', '855', '1674']",Mediastudies,Taal en Communicatie,1.0,Communication & Multimedia Design,415.0,1218.0,both,"multimedia, design",designer
07GR,34475,Avans Hogeschool,techniek,n.v.t. (techniek),Technische Informatica,hbo,bachelor,51.0,1.0,64.0,4.0,97.0,6.0,94.0,7.0,105.0,2.0,52.0,68.0,103.0,101.0,107.0,32.0,1.0,29.0,0.0,33.0,0.0,47.0,0.0,33.0,0.0,33.0,29.0,33.0,47.0,33.0,"['758', '796', '855', '1674']",Informatica,Exact en Informatica,1.0,Computer Science,125.0,322.0,both,computer science,developer
07GR,34479,Avans Hogeschool,techniek,n.v.t. (techniek),Informatica,hbo,bachelor,211.0,10.0,327.0,12.0,375.0,23.0,342.0,26.0,311.0,18.0,221.0,339.0,398.0,368.0,329.0,120.0,3.0,104.0,7.0,133.0,6.0,119.0,5.0,123.0,6.0,123.0,111.0,139.0,124.0,129.0,"['758', '796', '855', '1674']",Informatica,Exact en Informatica,1.0,Information Technology,499.0,1417.0,both,"information, technology",developer
07GR,80075,Avans Hogeschool,techniek,n.v.t. (techniek),Informatica,hbo,associate degree,0.0,0.0,0.0,0.0,16.0,1.0,57.0,8.0,74.0,10.0,0.0,0.0,17.0,65.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,11.0,"['758', '796', '855', '1674']",Technische natuurkunde,Exact en Informatica,1.0,Information Technology,66.0,78.0,both,"information, technology",developer
07GR,80158,Avans Hogeschool,techniek,n.v.t. (techniek),Mechatronica,hbo,associate degree,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,0.0,0.0,0.0,0.0,25.0,,,,,,,,,,,,,,,,"['758', '796', '855', '1674']",Mechatronica,Techniek,1.0,Mechatronics,0.0,0.0,both,,designer
21MI,34405,HZ University of Applied Sciences,economie,n.v.t. (economie),Communicatie,hbo,bachelor,9.0,18.0,5.0,17.0,11.0,9.0,7.0,19.0,7.0,12.0,27.0,22.0,20.0,26.0,19.0,9.0,17.0,3.0,23.0,11.0,22.0,11.0,17.0,7.0,21.0,26.0,26.0,33.0,28.0,28.0,"['1674', '687', '718']",Communicatie,Taal en Communicatie,1.0,Communication,33.0,113.0,both,,growth
21MI,30020,HZ University of Applied Sciences,techniek,n.v.t. (techniek),HBO-ICT,hbo,bachelor,29.0,0.0,48.0,4.0,36.0,5.0,36.0,4.0,41.0,4.0,29.0,52.0,41.0,40.0,45.0,22.0,0.0,23.0,2.0,21.0,0.0,21.0,1.0,22.0,1.0,22.0,25.0,21.0,22.0,23.0,"['1674', '687', '718']",Informatica,Exact en Informatica,1.0,Information & Communication Technology,52.0,177.0,both,"information, technology",support
21RI,34405,Hogeschool Leiden,economie,n.v.t. (economie),Communicatie,hbo,bachelor,18.0,76.0,16.0,72.0,18.0,83.0,15.0,81.0,25.0,106.0,94.0,88.0,101.0,96.0,131.0,7.0,59.0,13.0,58.0,20.0,72.0,14.0,57.0,13.0,47.0,66.0,71.0,92.0,71.0,60.0,['546'],Communicatie,Taal en Communicatie,1.0,Communication,132.0,423.0,both,,growth
21RI,34479,Hogeschool Leiden,techniek,n.v.t. (techniek),Informatica,hbo,bachelor,152.0,15.0,197.0,25.0,170.0,27.0,219.0,36.0,189.0,20.0,167.0,222.0,197.0,255.0,209.0,41.0,1.0,41.0,1.0,55.0,7.0,63.0,2.0,69.0,9.0,42.0,42.0,62.0,65.0,78.0,['546'],Informatica,Exact en Informatica,1.0,Information Technology,350.0,933.0,both,"information, technology",developer
21RI,39215,Hogeschool Leiden,techniek,n.v.t. (techniek),Bio-informatica,hbo,bachelor,59.0,25.0,54.0,37.0,31.0,25.0,35.0,27.0,33.0,26.0,84.0,91.0,56.0,62.0,59.0,8.0,3.0,8.0,2.0,14.0,8.0,16.0,10.0,26.0,9.0,11.0,10.0,22.0,26.0,35.0,['546'],Informatica,Exact en Informatica,1.0,Bio-informatics,77.0,243.0,both,,developer
21UI,35516,Breda University of Applied Sciences,economie,n.v.t. (economie),Creative Business,hbo,bachelor,74.0,105.0,72.0,115.0,75.0,98.0,53.0,106.0,58.0,115.0,179.0,187.0,173.0,159.0,173.0,54.0,71.0,44.0,74.0,56.0,95.0,46.0,63.0,55.0,97.0,125.0,118.0,151.0,109.0,152.0,"['758', '402']",Informatiestudies,Taal en Communicatie,1.0,Creative Business,181.0,829.0,both,creative,growth
