brinnummer_duo,opleidingscode_duo,instellingsnaam_duo,croho_onderdeel_duo,croho_subonderdeel_duo,opleidingsnaam_duo,ho_type,soortopleiding_duo,2015_man_i,2015_vrouw_i,2016_man_i,2016_vrouw_i,2017_man_i,2017_vrouw_i,2018_man_i,2018_vrouw_i,2019_man_i,2019_vrouw_i,2015_tot_i,2016_tot_i,2017_tot_i,2018_tot_i,2019_tot_i,2014_man_d,2014_vrouw_d,2015_man_d,2015_vrouw_d,2016_man_d,2016_vrouw_d,2017_man_d,2017_vrouw_d,2018_man_d,2018_vrouw_d,2014_tot_d,2015_tot_d,2016_tot_d,2017_tot_d,2018_tot_d,gemeentenummer_duo,cluster_sdb,sector_sdb,actieveopleiding_sdb,naamopleidingengels_sdb,eerstejaarsaantal_sdb,studentenaantal_sdb,_merge,tech_keyword,tech_label
23AH,34475,Saxion Hogeschool,techniek,n.v.t. (techniek),Technische Informatica,hbo,bachelor,25.0,0.0,27.0,6.0,45.0,6.0,56.0,4.0,57.0,5.0,25.0,33.0,51.0,60.0,62.0,16.0,,9.0,,17.0,,19.0,,9.0,,16.0,9.0,17.0,19.0,9.0,"['200', '150', '153']",Informatica,Exact en Informatica,1.0,Computer Science,77.0,185.0,both,computer science,developer
23AH,49128,Saxion Hogeschool,techniek,n.v.t. (techniek),Innovative Textile Development,hbo,master,0.0,0.0,0.0,9.0,0.0,15.0,3.0,4.0,5.0,7.0,0.0,9.0,15.0,7.0,12.0,,0.0,,0.0,,0.0,,6.0,,13.0,0.0,0.0,0.0,6.0,13.0,"['200', '150', '153']",Industrieel Produkt Ontwerpen,Techniek,1.0,Innovative Textile Development,7.0,23.0,both,,designer
23KJ,39111,Hogeschool der Kunsten Den Haag,taal en cultuur,opleidingen op het gebied van de kunst,Vormgeving,hbo,bachelor,40.0,103.0,39.0,95.0,50.0,104.0,55.0,109.0,44.0,104.0,143.0,134.0,154.0,164.0,148.0,41.0,67.0,39.0,74.0,22.0,73.0,37.0,68.0,38.0,85.0,108.0,113.0,95.0,105.0,123.0,['518'],Kunstacademie,Kunst en Cultuur,1.0,Design,181.0,570.0,both,design,designer
23KJ,49106,Hogeschool der Kunsten Den Haag,taal en cultuur,voortgezette kunstopleidingen,Type and Media,hbo,master,7.0,5.0,8.0,4.0,5.0,7.0,8.0,4.0,7.0,5.0,12.0,12.0,12.0,12.0,12.0,10.0,3.0,7.0,5.0,7.0,3.0,6.0,6.0,8.0,4.0,13.0,12.0,10.0,12.0,12.0,['518'],Kunstacademie,Kunst en Cultuur,1.0,Type and Media,12.0,0.0,both,media,designer
25BA,34405,Christelijke Hogeschool Ede,economie,n.v.t. (economie),Communicatie,hbo,bachelor,16.0,25.0,16.0,32.0,17.0,33.0,17.0,51.0,11.0,48.0,41.0,48.0,50.0,68.0,59.0,25.0,40.0,19.0,28.0,19.0,35.0,8.0,46.0,18.0,28.0,65.0,47.0,54.0,54.0,46.0,"['228', '505']",Communicatie,Taal en Communicatie,1.0,Communication,86.0,273.0,both,,growth
25BA,30020,Christelijke Hogeschool Ede,techniek,n.v.t. (techniek),HBO-ICT,hbo,bachelor,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,33.0,2.0,0.0,0.0,0.0,23.0,35.0,,,,,,,,,,,,,,,,"['228', '505']",Informatica,Exact en Informatica,1.0,Information & Communication Technology,46.0,46.0,both,"information, technology",support
25BA,80083,Christelijke Hogeschool Ede,techniek,n.v.t. (techniek),ICT Service Management,hbo,associate degree,0.0,,0.0,,0.0,,10.0,,9.0,,0.0,0.0,0.0,10.0,9.0,,,,,,,,,,,,,,,,"['228', '505']",Informatica,Exact en Informatica,1.0,ICT Service Management,11.0,11.0,both,ict,support
25BE,34405,Hanzehogeschool Groningen,economie,n.v.t. (economie),Communicatie,hbo,bachelor,41.0,114.0,47.0,156.0,51.0,184.0,58.0,182.0,62.0,204.0,155.0,203.0,235.0,240.0,266.0,28.0,125.0,27.0,124.0,36.0,142.0,44.0,134.0,42.0,100.0,153.0,151.0,178.0,178.0,142.0,"['106', '80', '14', '363']",Communicatie,Taal en Communicatie,1.0,Communication,338.0,1004.0,both,,growth
25BE,39111,Hanzehogeschool Groningen,taal en cultuur,opleidingen op het gebied van de kunst,Vormgeving,hbo,bachelor,19.0,53.0,26.0,63.0,10.0,55.0,31.0,78.0,8.0,76.0,72.0,89.0,65.0,109.0,84.0,23.0,56.0,16.0,47.0,12.0,45.0,20.0,43.0,22.0,62.0,79.0,63.0,57.0,63.0,84.0,"['106', '80', '14', '363']",Kunstacademie,Kunst en Cultuur,1.0,Design,124.0,382.0,both,design,designer
25BE,30020,Hanzehogeschool Groningen,techniek,n.v.t. (techniek),HBO-ICT,hbo,bachelor,192.0,8.0,264.0,13.0,270.0,14.0,204.0,15.0,198.0,11.0,200.0,277.0,284.0,219.0,209.0,93.0,1.0,65.0,2.0,62.0,1.0,92.0,3.0,97.0,6.0,94.0,67.0,63.0,95.0,103.0,"['106', '80', '14', '363']",Informatica,Exact en Informatica,1.0,Information & Communication Technology,304.0,1032.0,both,"information, technology",support
25BE,34092,Hanzehogeschool Groningen,techniek,n.v.t. (techniek),Communication and Multimedia Design,hbo,bachelor,150.0,75.0,184.0,106.0,223.0,113.0,207.0,99.0,202.0,97.0,225.0,290.0,336.0,306.0,299.0,70.0,29.0,61.0,23.0,64.0,23.0,92.0,55.0,77.0,40.0,99.0,84.0,87.0,147.0,117.0,"['106', '80', '14', '363']",Mediastudies,Taal en Communicatie,1.0,Communication & Multimedia Design,394.0,1322.0,both,"multimedia, design",designer
25BE,34389,Hanzehogeschool Groningen,techniek,n.v.t. (techniek),Industrieel Product Ontwerpen,hbo,bachelor,24.0,18.0,45.0,15.0,38.0,16.0,31.0,15.0,25.0,15.0,42.0,60.0,54.0,46.0,40.0,24.0,3.0,19.0,1.0,28.0,5.0,23.0,9.0,23.0,13.0,27.0,20.0,33.0,32.0,36.0,"['106', '80', '14', '363']",Industrieel Produkt Ontwerpen,Techniek,1.0,Industrial Design Engineering,59.0,240.0,both,"design, engineer",designer
25BE,39215,Hanzehogeschool Groningen,techniek,n.v.t. (techniek),Bio-informatica,hbo,bachelor,26.0,5.0,23.0,7.0,32.0,16.0,29.0,15.0,17.0,4.0,31.0,30.0,48.0,44.0,21.0,10.0,1.0,7.0,7.0,14.0,6.0,11.0,1.0,10.0,3.0,11.0,14.0,20.0,12.0,13.0,"['106', '80', '14', '363']",Informatica,Exact en Informatica,1.0,Bio-informatics,63.0,153.0,both,,developer
25BE,40015,Hanzehogeschool Groningen,techniek,n.v.t. (techniek),Smart Systems Engineering,hbo,master,5.0,2.0,8.0,1.0,6.0,0.0,5.0,2.0,11.0,4.0,7.0,9.0,6.0,7.0,15.0,0.0,0.0,4.0,2.0,4.0,1.0,5.0,0.0,7.0,2.0,0.0,6.0,5.0,5.0,9.0,"['106', '80', '14', '363']",Elektrotechniek,Techniek,1.0,Smart Systems Engineering,7.0,11.0,both,engineer,developer
25BE,49300,Hanzehogeschool Groningen,techniek,n.v.t. (techniek),Data Science for Life Sciences,hbo,master,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,9.0,0.0,0.0,0.0,0.0,20.0,,,,,,,,,,,,,,,,"['106', '80', '14', '363']",Informatica,Exact en Informatica,1.0,Data Science for Life Sciences,0.0,0.0,both,data,data
25DW,34405,Hogeschool Utrecht,economie,n.v.t. (economie),Communicatie,hbo,bachelor,40.0,108.0,29.0,111.0,43.0,130.0,35.0,109.0,25.0,132.0,148.0,140.0,173.0,144.0,157.0,26.0,126.0,31.0,86.0,26.0,88.0,17.0,81.0,29.0,82.0,152.0,117.0,114.0,98.0,111.0,"['363', '307', '344', '518', '599']",,,1.0,Communicatie,144.0,144.0,left_only,,growth
25DW,35516,Hogeschool Utrecht,economie,n.v.t. (economie),Creative Business,hbo,bachelor,95.0,199.0,62.0,146.0,46.0,156.0,67.0,192.0,99.0,193.0,294.0,208.0,202.0,259.0,292.0,84.0,132.0,80.0,144.0,102.0,163.0,85.0,155.0,95.0,163.0,216.0,224.0,265.0,240.0,258.0,"['363', '307', '344', '518', '599']",Informatiestudies,Taal en Communicatie,1.0,Creative Business,379.0,1308.0,both,creative,growth
25DW,49297,Hogeschool Utrecht,economie,n.v.t. (economie),Data-driven Design,hbo,master,0.0,0.0,0.0,0.0,0.0,0.0,13.0,9.0,10.0,11.0,0.0,0.0,0.0,22.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,16.0,"['363', '307', '344', '518', '599']",,,1.0,Data-driven Design,22.0,22.0,left_only,"data, design",data
25DW,30020,Hogeschool Utrecht,techniek,n.v.t. (techniek),HBO-ICT,hbo,bachelor,345.0,10.0,347.0,26.0,365.0,17.0,455.0,36.0,431.0,32.0,355.0,373.0,382.0,491.0,463.0,156.0,4.0,168.0,5.0,179.0,10.0,207.0,8.0,221.0,5.0,160.0,173.0,189.0,215.0,226.0,"['363', '307', '344', '518', '599']",Informatica,Exact en Informatica,1.0,HBO Information Technology,657.0,1791.0,both,"information, technology",support
25DW,34092,Hogeschool Utrecht,techniek,n.v.t. (techniek),Communication and Multimedia Design,hbo,bachelor,69.0,92.0,84.0,130.0,49.0,101.0,84.0,172.0,93.0,135.0,161.0,214.0,150.0,256.0,228.0,63.0,68.0,92.0,89.0,46.0,74.0,48.0,84.0,45.0,66.0,131.0,181.0,120.0,132.0,111.0,"['363', '307', '344', '518', '599']",Mediastudies,Taal en Communicatie,1.0,Communication & Multimedia Design,378.0,1008.0,both,"multimedia, design",designer
25DW,49144,Hogeschool Utrecht,techniek,n.v.t. (techniek),Next Level Engineering,hbo,master,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,0.0,0.0,0.0,0.0,15.0,,,,,,,,,,,,,,,,"['363', '307', '344', '518', '599']",,,1.0,Next Level Engineering,0.0,0.0,left_only,engineer,data
25JX,39111,Zuyd Hogeschool,taal en cultuur,opleidingen op het gebied van de kunst,Vormgeving,hbo,bachelor,21.0,47.0,17.0,52.0,22.0,65.0,11.0,64.0,18.0,67.0,68.0,69.0,87.0,75.0,85.0,23.0,52.0,11.0,52.0,8.0,35.0,8.0,44.0,13.0,40.0,75.0,63.0,43.0,52.0,53.0,"['917', '935', '1883']",Kunstacademie,Kunst en Cultuur,1.0,Design,100.0,334.0,both,design,designer
25JX,30020,Zuyd Hogeschool,techniek,n.v.t. (techniek),HBO-ICT,hbo,bachelor,118.0,7.0,134.0,9.0,125.0,14.0,152.0,10.0,107.0,6.0,125.0,143.0,139.0,162.0,113.0,105.0,10.0,141.0,5.0,95.0,5.0,59.0,4.0,101.0,7.0,115.0,146.0,100.0,63.0,108.0,"['917', '935', '1883']",Informatica,Exact en Informatica,1.0,Information & Communication Technology,191.0,627.0,both,"information, technology",support
25JX,34092,Zuyd Hogeschool,techniek,n.v.t. (techniek),Communication and Multimedia Design,hbo,bachelor,40.0,20.0,38.0,41.0,41.0,35.0,40.0,38.0,27.0,24.0,60.0,79.0,76.0,78.0,51.0,40.0,20.0,26.0,23.0,24.0,16.0,29.0,19.0,35.0,17.0,60.0,49.0,40.0,48.0,52.0,"['917', '935', '1883']",Mediastudies,Taal en Communicatie,1.0,Communication & Multimedia Design,100.0,353.0,both,"multimedia, design",designer
25JX,80132,Zuyd Hogeschool,techniek,n.v.t. (techniek),ICT,hbo,associate degree,0.0,0.0,0.0,0.0,102.0,7.0,83.0,9.0,50.0,3.0,0.0,0.0,109.0,92.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,23.0,4.0,0.0,0.0,0.0,16.0,27.0,"['917', '935', '1883']",Informatica,Exact en Informatica,1.0,Information & Communication Technology,88.0,145.0,both,"information, technology",support
25KB,34405,Hogeschool van Arnhem en Nijmegen,economie,n.v.t. (economie),Communicatie,hbo,bachelor,48.0,108.0,40.0,125.0,53.0,157.0,49.0,147.0,52.0,153.0,156.0,165.0,210.0,196.0,205.0,27.0,109.0,33.0,126.0,21.0,101.0,26.0,123.0,36.0,113.0,136.0,159.0,122.0,149.0,149.0,"['202', '268']",Communicatie,Taal en Communicatie,1.0,Communication,257.0,958.0,both,,growth
25KB,80135,Hogeschool van Arnhem en Nijmegen,economie,n.v.t. (economie),Online Marketing en Sales,hbo,associate degree,0.0,0.0,0.0,0.0,12.0,4.0,42.0,21.0,34.0,10.0,0.0,0.0,16.0,63.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0,"['202', '268']",Commerciële economie,Economie en Bedrijf,1.0,Online Marketing en Sales,53.0,73.0,both,"online, marketing",growth
25KB,30020,Hogeschool van Arnhem en Nijmegen,techniek,n.v.t. (techniek),HBO-ICT,hbo,bachelor,307.0,8.0,337.0,15.0,362.0,22.0,313.0,17.0,319.0,20.0,315.0,352.0,384.0,330.0,339.0,105.0,19.0,104.0,18.0,155.0,14.0,143.0,6.0,147.0,6.0,124.0,122.0,169.0,149.0,153.0,"['202', '268']",Informatica,Exact en Informatica,1.0,Information & Communication Technology,412.0,1431.0,both,"information, technology",support
25KB,34092,Hogeschool van Arnhem en Nijmegen,techniek,n.v.t. (techniek),Communication and Multimedia Design,hbo,bachelor,118.0,61.0,140.0,74.0,144.0,81.0,118.0,70.0,106.0,82.0,179.0,214.0,225.0,188.0,188.0,91.0,32.0,108.0,40.0,111.0,50.0,132.0,70.0,114.0,64.0,123.0,148.0,161.0,202.0,178.0,"['202', '268']",Mediastudies,Taal en Communicatie,1.0,Communication & Multimedia Design,260.0,1175.0,both,"multimedia, design",designer
25KB,34389,Hogeschool van Arnhem en Nijmegen,techniek,n.v.t. (techniek),Industrieel Product Ontwerpen,hbo,bachelor,64.0,27.0,55.0,27.0,47.0,21.0,45.0,27.0,35.0,20.0,91.0,82.0,68.0,72.0,55.0,13.0,13.0,14.0,8.0,19.0,20.0,31.0,18.0,39.0,25.0,26.0,22.0,39.0,49.0,64.0,"['202', '268']",Industrieel Produkt Ontwerpen,Techniek,1.0,Industrial Design Engineering,96.0,343.0,both,"design, engineer",designer
25KB,39215,Hogeschool van Arnhem en Nijmegen,techniek,n.v.t. (techniek),Bio-informatica,hbo,bachelor,41.0,20.0,35.0,22.0,38.0,19.0,25.0,14.0,27.0,10.0,61.0,57.0,57.0,39.0,37.0,10.0,6.0,14.0,4.0,14.0,4.0,13.0,3.0,13.0,9.0,16.0,18.0,18.0,16.0,22.0,"['202', '268']",Informatica,Exact en Informatica,1.0,Bio-informatics,54.0,202.0,both,,developer
25KB,49136,Hogeschool van Arnhem en Nijmegen,techniek,n.v.t. (techniek),Engineering Systems,hbo,master,0.0,0.0,0.0,0.0,159.0,3.0,119.0,6.0,104.0,11.0,0.0,0.0,162.0,125.0,115.0,0.0,0.0,0.0,0.0,1.0,0.0,49.0,1.0,36.0,1.0,0.0,0.0,1.0,50.0,37.0,"['202', '268']",Elektrotechniek,Techniek,1.0,Engineering Systems,125.0,205.0,both,engineer,support
25KB,80153,Hogeschool van Arnhem en Nijmegen,techniek,n.v.t. (techniek),Smart Industry,hbo,associate degree,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,5.0,,,,,,,,,,,,,,,,"['202', '268']",Bedrijfskunde en management,Economie en Bedrijf,1.0,Smart Industry,0.0,0.0,both,,data
27NF,39111,ArtEZ,taal en cultuur,opleidingen op het gebied van de kunst,Vormgeving,hbo,bachelor,55.0,149.0,67.0,161.0,57.0,190.0,59.0,197.0,69.0,183.0,204.0,228.0,247.0,256.0,252.0,36.0,96.0,48.0,105.0,33.0,104.0,34.0,93.0,42.0,120.0,132.0,153.0,137.0,127.0,162.0,"['202', '153', '193']",Kunstacademie,Kunst en Cultuur,0.0,Design,301.0,928.0,both,design,designer
27PZ,34405,Hogeschool INHOLLAND,economie,n.v.t. (economie),Communicatie,hbo,bachelor,26.0,113.0,25.0,60.0,18.0,62.0,14.0,57.0,24.0,91.0,139.0,85.0,80.0,71.0,115.0,51.0,168.0,60.0,191.0,43.0,151.0,50.0,151.0,27.0,116.0,219.0,251.0,194.0,201.0,143.0,"['14', '361', '363', '384', '392', '503', '505', '518', '599']",Communicatie,Taal en Communicatie,1.0,Communication,102.0,771.0,both,,growth
27PZ,35516,Hogeschool INHOLLAND,economie,n.v.t. (economie),Creative Business,hbo,bachelor,141.0,200.0,204.0,301.0,203.0,359.0,196.0,370.0,235.0,418.0,341.0,505.0,562.0,566.0,653.0,172.0,362.0,120.0,257.0,120.0,206.0,84.0,149.0,55.0,113.0,534.0,377.0,326.0,233.0,168.0,"['14', '361', '363', '384', '392', '503', '505', '518', '599']",Informatiestudies,Taal en Communicatie,1.0,Creative Business,738.0,2232.0,both,creative,growth
27PZ,39118,Hogeschool INHOLLAND,economie,n.v.t. (economie),Business IT & Management,hbo,bachelor,48.0,8.0,49.0,9.0,54.0,10.0,52.0,9.0,74.0,12.0,56.0,58.0,64.0,61.0,86.0,25.0,4.0,54.0,2.0,39.0,5.0,35.0,7.0,43.0,5.0,29.0,56.0,44.0,42.0,48.0,"['14', '361', '363', '384', '392', '503', '505', '518', '599']",Informatiekunde,Exact en Informatica,1.0,Business IT & Management,107.0,435.0,both,,support
27PZ,80024,Hogeschool INHOLLAND,economie,n.v.t. (economie),IT Service Management,hbo,associate degree,0.0,0.0,0.0,0.0,11.0,0.0,11.0,3.0,32.0,0.0,0.0,0.0,11.0,14.0,32.0,0.0,,0.0,,0.0,,0.0,,6.0,,0.0,0.0,0.0,0.0,6.0,"['14', '361', '363', '384', '392', '503', '505', '518', '599']",Informatica,Exact en Informatica,1.0,IT Service Management,15.0,26.0,both,,support
27PZ,34475,Hogeschool INHOLLAND,techniek,n.v.t. (techniek),Technische Informatica,hbo,bachelor,33.0,1.0,28.0,1.0,39.0,1.0,45.0,2.0,33.0,1.0,34.0,29.0,40.0,47.0,34.0,11.0,1.0,11.0,0.0,2.0,0.0,6.0,0.0,12.0,0.0,12.0,11.0,2.0,6.0,12.0,"['14', '361', '363', '384', '392', '503', '505', '518', '599']",Informatica,Exact en Informatica,1.0,Computer Science,56.0,165.0,both,computer science,developer
27PZ,34479,Hogeschool INHOLLAND,techniek,n.v.t. (techniek),Informatica,hbo,bachelor,84.0,7.0,30.0,5.0,78.0,12.0,100.0,12.0,108.0,29.0,91.0,35.0,90.0,112.0,137.0,13.0,1.0,23.0,1.0,21.0,1.0,33.0,0.0,38.0,2.0,14.0,24.0,22.0,33.0,40.0,"['14', '361', '363', '384', '392', '503', '505', '518', '599']",Informatica,Exact en Informatica,1.0,Information Technology,167.0,362.0,both,"information, technology",developer
27UM,34405,De Haagse Hogeschool,economie,n.v.t. (economie),Communicatie,hbo,bachelor,35.0,82.0,25.0,112.0,24.0,99.0,12.0,92.0,24.0,104.0,117.0,137.0,123.0,104.0,128.0,23.0,101.0,19.0,85.0,21.0,85.0,32.0,102.0,31.0,120.0,124.0,104.0,106.0,134.0,151.0,"['503', '518', '637']",Communicatie,Taal en Communicatie,1.0,Communication,160.0,715.0,both,,growth
27UM,30020,De Haagse Hogeschool,techniek,n.v.t. (techniek),HBO-ICT,hbo,bachelor,349.0,25.0,382.0,25.0,443.0,32.0,391.0,40.0,370.0,52.0,374.0,407.0,475.0,431.0,422.0,165.0,15.0,194.0,18.0,186.0,16.0,186.0,23.0,247.0,24.0,180.0,212.0,202.0,209.0,271.0,"['503', '518', '637']",Informatica,Exact en Informatica,0.0,Information & Communication Technology,393.0,1095.0,both,"information, technology",support
27UM,30020,De Haagse Hogeschool,techniek,n.v.t. (techniek),HBO-ICT,hbo,bachelor,349.0,25.0,382.0,25.0,443.0,32.0,391.0,40.0,370.0,52.0,374.0,407.0,475.0,431.0,422.0,165.0,15.0,194.0,18.0,186.0,16.0,186.0,23.0,247.0,24.0,180.0,212.0,202.0,209.0,271.0,"['503', '518', '637']",Informatica,Exact en Informatica,1.0,Information & Communication Technology,201.0,818.0,both,"information, technology",support
27UM,30026,De Haagse Hogeschool,techniek,n.v.t. (techniek),Mechatronica,hbo,bachelor,87.0,3.0,78.0,12.0,106.0,4.0,84.0,5.0,94.0,6.0,90.0,90.0,110.0,89.0,100.0,8.0,,13.0,,21.0,,39.0,,28.0,,8.0,13.0,21.0,39.0,28.0,"['503', '518', '637']",Mechatronica,Techniek,1.0,Mechatronics,118.0,300.0,both,,designer
27UM,34092,De Haagse Hogeschool,techniek,n.v.t. (techniek),Communication and Multimedia Design,hbo,bachelor,40.0,57.0,71.0,61.0,81.0,75.0,88.0,91.0,71.0,86.0,97.0,132.0,156.0,179.0,157.0,91.0,43.0,87.0,40.0,58.0,40.0,74.0,48.0,70.0,57.0,134.0,127.0,98.0,122.0,127.0,"['503', '518', '637']",Mediastudies,Taal en Communicatie,1.0,Communication & Multimedia Design,257.0,745.0,both,"multimedia, design",designer
27UM,34389,De Haagse Hogeschool,techniek,n.v.t. (techniek),Industrieel Product Ontwerpen,hbo,bachelor,78.0,63.0,85.0,73.0,69.0,36.0,63.0,53.0,87.0,60.0,141.0,158.0,105.0,116.0,147.0,50.0,26.0,51.0,29.0,69.0,38.0,60.0,42.0,63.0,53.0,76.0,80.0,107.0,102.0,116.0,"['503', '518', '637']",Industrieel Produkt Ontwerpen,Techniek,1.0,Industrial Design Engineering,159.0,604.0,both,"design, engineer",designer
28DN,34405,Hogeschool van Amsterdam,economie,n.v.t. (economie),Communicatie,hbo,bachelor,30.0,93.0,51.0,125.0,37.0,156.0,28.0,96.0,34.0,121.0,123.0,176.0,193.0,124.0,155.0,27.0,83.0,39.0,111.0,54.0,122.0,24.0,91.0,28.0,61.0,110.0,150.0,176.0,115.0,89.0,['363'],,,1.0,Communicatie,124.0,124.0,left_only,,growth
28DN,35516,Hogeschool van Amsterdam,economie,n.v.t. (economie),Creative Business,hbo,bachelor,111.0,293.0,113.0,389.0,117.0,389.0,159.0,583.0,171.0,636.0,404.0,502.0,506.0,742.0,807.0,141.0,575.0,141.0,499.0,106.0,371.0,71.0,291.0,76.0,238.0,716.0,640.0,477.0,362.0,314.0,['363'],Informatiestudies,Taal en Communicatie,1.0,Creative Business,1029.0,2617.0,both,creative,growth
28DN,49304,Hogeschool van Amsterdam,sectoroverstijgend,sectoroverstijgend,Digital Driven Business,hbo,master,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,9.0,0.0,0.0,0.0,0.0,26.0,,,,,,,,,,,,,,,,['363'],Bedrijfskunde en management,Economie en Bedrijf,1.0,Digital Driven Business,0.0,0.0,both,digital,data
28DN,30020,Hogeschool van Amsterdam,techniek,n.v.t. (techniek),HBO-ICT,hbo,bachelor,468.0,25.0,582.0,45.0,678.0,53.0,604.0,53.0,630.0,77.0,493.0,627.0,731.0,657.0,707.0,215.0,11.0,234.0,16.0,217.0,25.0,243.0,25.0,241.0,14.0,226.0,250.0,242.0,268.0,255.0,['363'],Informatica,Exact en Informatica,1.0,Information & Communication Technology,865.0,2692.0,both,"information, technology",support
28DN,34092,Hogeschool van Amsterdam,techniek,n.v.t. (techniek),Communication and Multimedia Design,hbo,bachelor,142.0,84.0,162.0,130.0,191.0,161.0,150.0,121.0,138.0,134.0,226.0,292.0,352.0,271.0,272.0,158.0,50.0,122.0,47.0,130.0,78.0,85.0,63.0,109.0,74.0,208.0,169.0,208.0,148.0,183.0,['363'],Mediastudies,Taal en Communicatie,1.0,Communication & Multimedia Design,409.0,1387.0,both,"multimedia, design",designer
28DN,49131,Hogeschool van Amsterdam,techniek,n.v.t. (techniek),Digital Design,hbo,master,0.0,0.0,0.0,0.0,11.0,13.0,9.0,15.0,12.0,12.0,0.0,0.0,24.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,13.0,8.0,14.0,0.0,0.0,0.0,24.0,22.0,['363'],Informatica,Exact en Informatica,1.0,Digital Design,24.0,0.0,both,"digital, design",data
28DN,80156,Hogeschool van Amsterdam,techniek,n.v.t. (techniek),Cybersecurity,hbo,associate degree,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,2.0,0.0,0.0,0.0,0.0,47.0,,,,,,,,,,,,,,,,['363'],Informatica,Exact en Informatica,1.0,Cybersecurity,0.0,0.0,both,cyber,developer
30GB,34405,Fontys Hogescholen,economie,n.v.t. (economie),Communicatie,hbo,bachelor,171.0,305.0,173.0,362.0,169.0,313.0,138.0,287.0,150.0,359.0,476.0,535.0,482.0,425.0,509.0,134.0,350.0,164.0,373.0,155.0,347.0,130.0,287.0,128.0,289.0,484.0,537.0,502.0,417.0,417.0,"['268', '935', '983', '1883', '748', '772', '794', '796', '855', '1948', '344', '599']",Communicatie,Taal en Communicatie,1.0,Communication,595.0,2432.0,both,,growth
30GB,39111,Fontys Hogescholen,taal en cultuur,opleidingen op het gebied van de kunst,Vormgeving,hbo,bachelor,3.0,17.0,7.0,13.0,6.0,26.0,11.0,15.0,3.0,23.0,20.0,20.0,32.0,26.0,26.0,5.0,13.0,5.0,11.0,3.0,17.0,4.0,11.0,6.0,12.0,18.0,16.0,20.0,15.0,18.0,"['268', '935', '983', '1883', '748', '772', '794', '796', '855', '1948', '344', '599']",Kunstacademie,Kunst en Cultuur,1.0,Design,35.0,111.0,both,design,designer
30GB,30020,Fontys Hogescholen,techniek,n.v.t. (techniek),HBO-ICT,hbo,bachelor,651.0,82.0,603.0,76.0,784.0,104.0,809.0,105.0,816.0,85.0,733.0,679.0,888.0,914.0,901.0,287.0,35.0,316.0,35.0,296.0,38.0,349.0,44.0,395.0,38.0,322.0,351.0,334.0,393.0,433.0,"['268', '935', '983', '1883', '748', '772', '794', '796', '855', '1948', '344', '599']",Informatica,Exact en Informatica,1.0,Information & Communication Technology,971.0,3544.0,both,"information, technology",support
30GB,30026,Fontys Hogescholen,techniek,n.v.t. (techniek),Mechatronica,hbo,bachelor,172.0,9.0,212.0,16.0,215.0,16.0,186.0,18.0,223.0,13.0,181.0,228.0,231.0,204.0,236.0,57.0,1.0,61.0,0.0,78.0,2.0,94.0,5.0,118.0,5.0,58.0,61.0,80.0,99.0,123.0,"['268', '935', '983', '1883', '748', '772', '794', '796', '855', '1948', '344', '599']",Mechatronica,Techniek,1.0,Mechatronics,230.0,812.0,both,,designer
30GB,34389,Fontys Hogescholen,techniek,n.v.t. (techniek),Industrieel Product Ontwerpen,hbo,bachelor,48.0,36.0,52.0,37.0,44.0,18.0,47.0,18.0,34.0,24.0,84.0,89.0,62.0,65.0,58.0,21.0,21.0,32.0,22.0,25.0,25.0,37.0,31.0,39.0,20.0,42.0,54.0,50.0,68.0,59.0,"['268', '935', '983', '1883', '748', '772', '794', '796', '855', '1948', '344', '599']",Industrieel Produkt Ontwerpen,Techniek,1.0,Industrial Design Engineering,79.0,281.0,both,"design, engineer",designer
30GB,34479,Fontys Hogescholen,techniek,n.v.t. (techniek),Informatica,hbo,bachelor,33.0,3.0,40.0,2.0,60.0,5.0,58.0,11.0,68.0,6.0,36.0,42.0,65.0,69.0,74.0,28.0,0.0,24.0,2.0,23.0,0.0,22.0,5.0,22.0,3.0,28.0,26.0,23.0,27.0,25.0,"['268', '935', '983', '1883', '748', '772', '794', '796', '855', '1948', '344', '599']",Informatica,Exact en Informatica,1.0,Information Technology,79.0,215.0,both,"information, technology",developer
